month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,42.25314798246831,603.6977798302207,753.3593871646858,17.41362468942561,13.871602045952248
2,10.63141652135333,448.79247879699255,523.6713130826987,17.131783143467967,10.088616879687695
3,11.189877011674987,474.4891586901763,514.4664499878062,17.558167086690393,13.985537008270342
4,58.549354305327896,366.01445574398525,560.9487719736463,16.126489227852776,12.797087598116462
5,63.153261743732045,343.44100105630946,680.0146583245307,19.423523670911344,14.094049826750103
6,43.57617485981856,363.66165333333333,584.2619533332993,17.63153938209839,12.569133141214245
7,2.2634063136442704,443.73132580645165,459.9947290322553,19.459369821074546,12.27400362980323
8,36.543544816461704,447.11932580645157,644.0849870967442,17.890988409620974,12.501099116885191
9,18.620492038372888,425.9459684123025,544.1515677472984,17.36386767097019,11.015721826854241
10,40.73926062649012,460.54464162175196,654.8267267315582,17.00549399143635,12.23657865731552
11,40.77338711150254,523.1028295926849,743.250902743142,16.748434983360053,11.349127044073903
12,56.384409133030594,471.9468797605366,614.9057722425638,15.709824802616236,13.174391796997734
